id,keywords,date,nbComments,nbView,nbStars,nbVotes,source
26124,Rédaction E&R;BHL;Communautés;Éric Zemmour;France;Médias;Politique;Sionisme,2014-06-19 00:00:00,240,78554,4,333,undefined
24023,Dieudonné;États-Unis;France;Humour;International;Céline;Quenelle,2014-03-13 00:00:00,70,64739,4,233,nytimes.com
24816,Écologie;Forces de l’ordre;France;International;Israël;Judaïsme;Justice & Droit,2014-04-19 00:00:00,39,67635,5,227,undefined
23686,Politique;Social,2014-02-25 00:00:00,101,93432,5,286,undefined
23666,Marion Sigaut;États-Unis;Histoire;Pédocriminalité;Sexualité;Société,2014-02-26 00:00:00,216,68570,5,766,undefined
24397,Lucien Cerise;Communautés;Futur;N.W.O.;Science;Société,2014-03-30 00:00:00,94,37885,5,108,undefined
23742,Communautés;France;Judaïsme;Politique,2014-02-27 00:00:00,47,23982,5,209,undefined
24045,International;Nicolas Maduro;Venezuela,2014-03-14 00:00:00,14,10094,5,58,undefined
24459,Défense;États-Unis;International;OTAN;Roumanie;Russie;Ukraine,2014-04-02 00:00:00,8,8059,2,55,undefined
24062,Chili;Politique;Social;Venezuela,2014-03-15 00:00:00,5,14991,5,110,undefined
24185,Défense;France;International;LRPS;Russie,2014-03-20 00:00:00,86,41446,5,306,undefined
24602,LRPS;Mariage homosexuel;PMA/GPA;Politique;Sexualité;Société;Théorie du genre,2014-04-09 00:00:00,28,9938,2,50,undefined
24501,Communautés;Désinformation;Extrême gauche;France;Islam;Judaïsme;Politique;Sociologie,2014-04-04 00:00:00,42,24136,2,93,undefined
10773,Christianisme;Communautés;Histoire;Judaïsme;Religion,2014-03-08 00:00:00,95,20003,5,117,undefined
24121,Alain de Benoist;Extrême gauche;Histoire;Politique;Social;Tradition,2014-04-04 00:00:00,24,33214,5,221,Kontre Kulture
24382,Communautés;France;Judaïsme;Médias,2014-03-29 00:00:00,27,28277,5,211,undefined
23877,Hamas;International;Iran;Israël;Palestine;Syrie,2014-03-05 00:00:00,31,34562,2,175,undefined
23850,Alain Soral;Gilad Atzmon;Communautés;Immigration;International;Israël;Judaïsme;Mondialisme;Nationalisme,2014-03-04 00:00:00,35,41714,5,280,undefined
23458,Forces de l’ordre;France;Justice & Droit;Manuel Valls;Persécutions !,2014-02-15 00:00:00,107,38433,1,401,undefined
24092,Bernamej;Communautés;Dieudonné;France;Histoire;Humour;Manuel Valls;Politique;Quenelle;Seconde Guerre mondiale,2014-03-17 00:00:00,141,65299,5,941,undefined
24663,Alain de Benoist;Christianisme;Économie;France;Histoire;Philosophie;Politique;Religion;Tradition,2014-04-12 00:00:00,20,26862,4,126,E&R Aquitaine
2935,Félix Niesche;France;Politique;Syrie,2014-04-21 00:00:00,32,16059,5,153,undefined
24669,Ayssar Midani;Communautés;International;Religion;Syrie,2014-04-12 00:00:00,18,13768,5,123,undefined
24007,Max Lévy;Esclavage;N.W.O.;Politique;Société,2014-03-12 00:00:00,33,14670,5,128,undefined
23581,Roman Halauniov;Géopolitique;Politique;Russie;Ukraine,2014-02-20 00:00:00,60,32362,4,161,undefined
24798,Politique;Social;Suisse,2014-04-18 00:00:00,35,9038,4,60,undefined
23388,Économie;États-Unis;Mondialisme,2014-02-14 00:00:00,22,23161,5,147,buchanan.org
24400,France;Front national;LRPS;Politique,2014-03-30 00:00:00,122,21846,2,110,undefined
23665,Antifa;Forces de l’ordre;France;Front national;Médias,2014-02-24 00:00:00,24,30481,2,176,E&R MidiundefinedPyrénées
24025,International;Nicolas Maduro;Venezuela,2014-03-13 00:00:00,23,16566,3,80,E&R
24298,Félix Niesche;Politique,2014-03-25 00:00:00,22,11493,5,150,undefined
23998,Allemagne;Banques;Barack Obama;Économie;États-Unis;Union européenne,2014-03-11 00:00:00,6,10680,4,42,mises.org
24419,D. H. ;Défense;France;Internet;Justice & Droit;Renseignement,2014-03-31 00:00:00,20,9133,3,58,undefined
24216,Front national;LRPS;Politique,2014-03-23 00:00:00,241,59512,4,271,undefined
24540,Gilad Atzmon;Communautés;France;Israël;Judaïsme;Manuel Valls;Nationalisme;Palestine;Sionisme,2014-04-06 00:00:00,9,11058,5,100,undefined
24303,International,2014-03-25 00:00:00,9,9090,2,66,undefined
23597,Félix Niesche;BHL;Humour;Ukraine,2014-02-22 00:00:00,42,21635,4,150,undefined
24542,Christianisme;Éducation;France;Politique;Sexualité;Théorie du genre,2014-04-06 00:00:00,56,32293,4,138,E&R
24593,Hugo Chávez;International;Nicolas Maduro;Politique;Social;Venezuela,2014-04-08 00:00:00,29,18711,5,198,E&R
24076,Félix Niesche;Politique;Social,2014-03-16 00:00:00,15,19792,5,125,undefined
23624,International;Médias;Russie;Société,2014-02-22 00:00:00,35,31085,5,164,newrepublic.com
23579,Cinéma;Communautés;France;Humour;Islam;Médias,2014-02-20 00:00:00,55,43216,5,210,undefined
24219,Banques;Économie;Royaume-Uni,2014-03-21 00:00:00,56,25119,5,148,theguardian.com
23828,Antiracisme;Communautés;Dieudonné;France;Judaïsme;Justice & Droit;Persécutions !,2014-03-03 00:00:00,130,81011,2,446,E&R Nice
24317,Gilad Atzmon;Communautés;Désinformation;International;Israël;Judaïsme;Médias;Royaume-Uni;Sionisme,2014-03-26 00:00:00,24,14180,5,102,gilad.co.uk
23364,États-Unis;International;Iran;Israël,2014-02-12 00:00:00,26,10742,4,116,undefined
23906,Humour;Médias;People,2014-03-06 00:00:00,66,41148,5,331,undefined
23452,Ian Purdom;Communautés;France;Internet;Liberté d’expression;Politique,2014-02-15 00:00:00,29,12363,5,118,undefined
23655,Immigration;Politique;Suisse,2014-02-24 00:00:00,43,8631,5,69,undefined
24735,Communautés;Franc-maçonnerie;France;Politique;Sionisme,2014-04-16 00:00:00,13,16090,3,85,E&R MidiundefinedPyrénées
24564,Économie;France;Front national;Nationalisme;Politique;Union européenne;Vladimir Poutine,2014-04-07 00:00:00,71,41177,5,301,lamarea.com
23291,911;États-Unis;International;Israël;Renseignement,2014-02-20 00:00:00,81,63598,5,374,veteranstoday.com
